operator_record_id,buyer_id,legal_name,role_raw,postal_address,electronic_address,agreement_reference,agreement_date,source
OP-00001,BUY-0001,Euro Fashion BV,Unknown,"56 Trade Street, Rotterdam, Germany",trade@euro-fashion-bv.eu,,2025-11-04,Buyer master
OP-00002,BUY-0002,Maison Retail BV,Importer,"63 Trade Street, Amsterdam, Netherlands",trade@maison-retail-bv.eu,AGR-45941,2025-01-18,Signed agreement
OP-00003,BUY-0003,Nord Imports SAS,Distributor,,,AGR-90079,2026-04-17,Buyer master
OP-00004,BUY-0005,Riviera Imports SRL,Unknown,"94 Trade Street, Madrid, Spain",trade@riviera-imports-srl.eu,,2026-02-05,Buyer master
OP-00005,BUY-0006,Harbor Stores BV,Buyer only,"88 Trade Street, Milan, Germany",trade@harbor-stores-bv.eu,AGR-28214,,Signed agreement
OP-00006,BUY-0007,Galeria Imports SL,Importer,"4 Trade Street, Milan, Netherlands",trade@galeria-imports-sl.eu,,2025-02-12,Signed agreement
OP-00007,BUY-0009,Euro Imports BV,Importer,"79 Trade Street, Paris, Italy",trade@euro-imports-bv.eu,AGR-27358,2025-11-30,Signed agreement
OP-00008,BUY-0010,Euro Fashion SRL,Buyer only,"18 Trade Street, Hamburg, Spain",trade@euro-fashion-srl.eu,,2025-10-20,Buyer master
OP-00009,BUY-0011,Harbor Imports SRL,Importer,"25 Trade Street, Amsterdam, Germany",trade@harbor-imports-srl.eu,AGR-10890,2026-03-12,Signed agreement
OP-00010,BUY-0012,Harbor Textiles SAS,Unknown,"55 Trade Street, Rotterdam, Netherlands",trade@harbor-textiles-sas.eu,AGR-79135,2025-04-05,Buyer master
OP-00011,BUY-0013,Urban Stores SL,Importer,"39 Trade Street, Madrid, France",trade@urban-stores-sl.eu,AGR-52443,,Buyer master
OP-00012,BUY-0014,Riviera Textiles SRL,Unknown,"90 Trade Street, Paris, Italy",trade@riviera-textiles-srl.eu,AGR-87592,2025-08-11,Signed agreement
OP-00013,BUY-0015,Urban Retail SRL,Distributor,"84 Trade Street, Hamburg, Spain",,,,Email confirmation
OP-00014,BUY-0016,Harbor Textiles BV,Distributor,"37 Trade Street, Rotterdam, Germany",trade@harbor-textiles-bv.eu,AGR-84474,2025-02-15,Buyer master
OP-00015,BUY-0017,Urban Stores SAS,Distributor,"79 Trade Street, Amsterdam, Netherlands",trade@urban-stores-sas.eu,AGR-51809,2025-09-26,Email confirmation
OP-00016,BUY-0018,Nord Stores SRL,Importer,"51 Trade Street, Hamburg, France",trade@nord-stores-srl.eu,AGR-49029,,Signed agreement
OP-00017,BUY-0020,Riviera Fashion BV,Buyer only,"16 Trade Street, Amsterdam, Spain",trade@riviera-fashion-bv.eu,AGR-38526,2025-04-03,Buyer master
OP-00018,BUY-0021,Nord Textiles BV,Unknown,,trade@nord-textiles-bv.eu,AGR-27195,2025-11-26,Signed agreement
OP-00019,BUY-0022,Riviera Textiles SL,Unknown,"97 Trade Street, Milan, Netherlands",trade@riviera-textiles-sl.eu,AGR-94704,2026-01-13,Email confirmation
OP-00020,BUY-0024,Moda Imports BV,Importer,"19 Trade Street, Amsterdam, Italy",trade@moda-imports-bv.eu,AGR-31804,2025-05-25,Email confirmation
OP-00021,BUY-0025,Moda Fashion GmbH,Importer,"16 Trade Street, Amsterdam, Spain",trade@moda-fashion-gmbh.eu,,2025-12-11,Email confirmation
OP-00022,BUY-0026,Galeria Retail SAS,Importer,"75 Trade Street, Paris, Germany",trade@galeria-retail-sas.eu,AGR-33366,2025-06-08,Signed agreement
OP-00023,BUY-0027,Nord Textiles GmbH,Buyer only,"40 Trade Street, Paris, Netherlands",trade@nord-textiles-gmbh.eu,,2025-07-17,Email confirmation
OP-00024,BUY-0028,Galeria Retail SAS,Distributor,"94 Trade Street, Milan, France",trade@galeria-retail-sas.eu,AGR-96713,2025-10-05,Buyer master
OP-00025,BUY-0029,Riviera Stores GmbH,Buyer only,"48 Trade Street, Rotterdam, Italy",trade@riviera-stores-gmbh.eu,,2025-06-14,Signed agreement
OP-00026,BUY-0030,Moda Fashion SAS,Unknown,"2 Trade Street, Milan, Spain",trade@moda-fashion-sas.eu,AGR-63098,2025-07-07,Buyer master
