rate_id,provider_name,origin_city,destination_country_raw,destination_port,transport_mode,rate_basis,base_rate,currency,minimum_charge,origin_charges,destination_charges,estimated_transit_days,valid_from,valid_to,weight_min_kg,weight_max_kg
RATE-000001,BlueWave Logistics,Delhi,Germany,Hamburg,Air,per_kg,6.88,USD,474.01,85.02,123.23,6,2026-07-01,2027-03-31,1,5000
RATE-000002,TransGlobe Freight,Delhi,Germany,Hamburg,Air,per_kg,6.07,EUR,190.28,106.96,187.72,10,2026-07-01,2027-03-31,1,5000
RATE-000003,OceanBridge Logistics,Delhi,Germany,Hamburg,Air,per_kg,5.31,USD,431.82,115.93,131.46,7,2026-07-01,2027-03-31,1,5000
RATE-000004,SkyCargo Partners,Delhi,Germany,Hamburg,Air,per_kg,6.37,USD,464.23,238.0,184.44,7,2026-07-01,2027-03-31,1,5000
RATE-000005,BlueWave Logistics,Delhi,Germany,Hamburg,Sea LCL,per_cbm,255.5,USD,174.65,129.31,133.94,26,2026-07-01,2027-03-31,100,28000
RATE-000006,TransGlobe Freight,Delhi,Germany,Hamburg,Sea LCL,per_cbm,145.36,USD,498.24,189.75,110.38,36,2026-07-01,2027-03-31,100,28000
RATE-000007,OceanBridge Logistics,Delhi,Germany,Hamburg,Sea LCL,per_cbm,234.26,USD,327.64,155.92,90.96,38,2026-07-01,2027-03-31,100,28000
RATE-000008,SkyCargo Partners,Delhi,Germany,Hamburg,Sea LCL,per_cbm,199.61,EUR,363.41,166.03,101.44,27,2026-07-01,2027-03-31,100,28000
RATE-000009,BlueWave Logistics,Delhi,Germany,Hamburg,Sea FCL,per_container,2435.76,USD,210.1,176.01,169.02,34,2026-07-01,2027-03-31,100,28000
RATE-000010,TransGlobe Freight,Delhi,Germany,Hamburg,Sea FCL,per_container,2860.13,USD,142.9,180.75,116.52,31,2026-07-01,2027-03-31,100,28000
RATE-000011,OceanBridge Logistics,Delhi,Germany,Hamburg,Sea FCL,per_container,3660.13,EUR,348.82,137.38,141.06,29,2026-07-01,2027-03-31,100,28000
RATE-000012,SkyCargo Partners,Delhi,Germany,Hamburg,Sea FCL,per_container,3531.77,USD,254.11,139.26,146.6,26,2026-07-01,2027-03-31,100,28000
RATE-000013,BlueWave Logistics,Delhi,Germany,Bremerhaven,Air,per_kg,6.36,USD,261.96,199.53,175.77,8,2026-07-01,2027-03-31,1,5000
RATE-000014,TransGlobe Freight,Delhi,Germany,Bremerhaven,Air,per_kg,6.9,USD,253.37,225.39,99.61,8,2026-07-01,2027-03-31,1,5000
RATE-000015,OceanBridge Logistics,Delhi,Germany,Bremerhaven,Air,per_kg,6.5,EUR,289.62,158.97,135.52,7,2026-07-01,2027-03-31,1,5000
RATE-000016,SkyCargo Partners,Delhi,Germany,Bremerhaven,Air,per_kg,6.96,USD,430.98,110.57,101.24,6,2026-07-01,2027-03-31,1,5000
RATE-000017,BlueWave Logistics,Delhi,Germany,Bremerhaven,Sea LCL,per_cbm,199.95,USD,316.71,81.76,100.85,28,2026-07-01,2027-03-31,100,28000
RATE-000018,TransGlobe Freight,Delhi,Germany,Bremerhaven,Sea LCL,per_cbm,212.51,USD,139.66,183.34,88.62,36,2026-07-01,2027-03-31,100,28000
RATE-000019,OceanBridge Logistics,Delhi,Germany,Bremerhaven,Sea LCL,per_cbm,167.46,EUR,430.66,90.98,119.97,25,2026-07-01,2027-03-31,100,28000
RATE-000020,SkyCargo Partners,Delhi,Germany,Bremerhaven,Sea LCL,per_cbm,175.19,USD,495.28,197.86,127.25,30,2026-07-01,2027-03-31,100,28000
RATE-000021,BlueWave Logistics,Delhi,Germany,Bremerhaven,Sea FCL,per_container,2662.41,EUR,157.7,94.25,139.13,32,2026-07-01,2027-03-31,100,28000
RATE-000022,TransGlobe Freight,Delhi,Germany,Bremerhaven,Sea FCL,per_container,3362.8,USD,299.95,111.13,101.2,23,2026-07-01,2027-03-31,100,28000
RATE-000023,OceanBridge Logistics,Delhi,Germany,Bremerhaven,Sea FCL,per_container,2506.47,USD,121.56,231.01,127.89,24,2026-07-01,2027-03-31,100,28000
RATE-000024,SkyCargo Partners,Delhi,Germany,Bremerhaven,Sea FCL,per_container,3037.34,USD,455.11,209.53,101.2,25,2026-07-01,2027-03-31,100,28000
RATE-000025,BlueWave Logistics,Delhi,The Netherlands,Rotterdam,Air,per_kg,4.9,EUR,350.65,209.1,85.47,10,2026-07-01,2027-03-31,1,5000
RATE-000026,TransGlobe Freight,Delhi,The Netherlands,Rotterdam,Air,per_kg,4.92,USD,169.35,221.24,143.49,6,2026-07-01,2027-03-31,1,5000
RATE-000027,OceanBridge Logistics,Delhi,The Netherlands,Rotterdam,Air,per_kg,5.45,EUR,266.77,128.16,93.85,5,2026-07-01,2027-03-31,1,5000
RATE-000028,SkyCargo Partners,Delhi,The Netherlands,Rotterdam,Air,per_kg,5.72,EUR,255.23,218.89,129.31,8,2026-07-01,2027-03-31,1,5000
RATE-000029,BlueWave Logistics,Delhi,The Netherlands,Rotterdam,Sea LCL,per_cbm,179.53,EUR,246.35,122.74,105.87,24,2026-07-01,2027-03-31,100,28000
RATE-000030,TransGlobe Freight,Delhi,The Netherlands,Rotterdam,Sea LCL,per_cbm,268.89,USD,207.85,81.83,180.33,24,2026-07-01,2027-03-31,100,28000
RATE-000031,OceanBridge Logistics,Delhi,The Netherlands,Rotterdam,Sea LCL,per_cbm,273.99,EUR,349.68,173.08,63.96,35,2026-07-01,2027-03-31,100,28000
RATE-000032,SkyCargo Partners,Delhi,The Netherlands,Rotterdam,Sea LCL,per_cbm,171.6,USD,426.82,170.99,95.05,38,2026-07-01,2027-03-31,100,28000
RATE-000033,BlueWave Logistics,Delhi,The Netherlands,Rotterdam,Sea FCL,per_container,2734.01,USD,177.26,163.67,175.89,21,2026-07-01,2027-03-31,100,28000
RATE-000034,TransGlobe Freight,Delhi,The Netherlands,Rotterdam,Sea FCL,per_container,2948.72,USD,395.1,226.18,72.77,35,2026-07-01,2027-03-31,100,28000
RATE-000035,OceanBridge Logistics,Delhi,The Netherlands,Rotterdam,Sea FCL,per_container,3116.11,EUR,108.44,175.44,146.3,30,2026-07-01,2027-03-31,100,28000
RATE-000036,SkyCargo Partners,Delhi,The Netherlands,Rotterdam,Sea FCL,per_container,2682.84,USD,318.45,228.21,123.01,26,2026-07-01,2027-03-31,100,28000
RATE-000037,BlueWave Logistics,Delhi,FR,Le Havre,Air,per_kg,4.5,USD,273.18,187.18,188.79,6,2026-07-01,2027-03-31,1,5000
RATE-000038,TransGlobe Freight,Delhi,FR,Le Havre,Air,per_kg,6.92,EUR,228.31,239.93,89.66,4,2026-07-01,2027-03-31,1,5000
RATE-000039,OceanBridge Logistics,Delhi,FR,Le Havre,Air,per_kg,4.56,USD,428.93,131.27,103.12,5,2026-07-01,2027-03-31,1,5000
RATE-000040,SkyCargo Partners,Delhi,FR,Le Havre,Air,per_kg,5.29,EUR,440.24,84.7,70.5,9,2026-07-01,2027-03-31,1,5000
RATE-000041,BlueWave Logistics,Delhi,FR,Le Havre,Sea LCL,per_cbm,205.79,USD,148.54,147.62,98.46,26,2026-07-01,2027-03-31,100,28000
