component_id,sku,component_type,material_description,colour,supplier_id,supplier_material_code,weight_percent,direct_skin_contact,likely_prolonged_skin_contact,animal_origin,plasticised,dyed_or_printed
CMP-0001-1,EU-APP-0001,Shell fabric,Cotton/polyester jersey,Black,SUP-0006,MAT-2351,60,Yes,Yes,No,No,Yes
CMP-0001-2,EU-APP-0001,Secondary fibre,Polyester,Black,SUP-0025,MAT-1856,40,Yes,Yes,No,No,Yes
CMP-0002-1,EU-APP-0002,Shell fabric,Viscose/linen blend,Blue,SUP-0014,MAT-6683,70,Yes,Yes,No,No,Yes
CMP-0002-2,EU-APP-0002,Secondary fibre,Linen,Blue,SUP-0022,MAT-7676,30,Yes,Yes,No,No,Yes
CMP-0002-3,EU-APP-0002,Rivet,Stainless steel,Blue,SUP-0008,TRIM-7273,,No,No,No,No,No
CMP-0002-4,EU-APP-0002,Print/Badge,Soft PVC print,Blue,SUP-0008,PVC-7031,,Yes,Yes,No,Yes,Yes
CMP-0003-1,EU-APP-0003,Shell fabric,Cotton,White,SUP-0016,MAT-3166,100,Yes,Yes,No,No,Yes
CMP-0004-1,EU-APP-0004,Shell fabric,Cotton,Black,SUP-0007,MAT-6559,100,Yes,Yes,No,No,Yes
CMP-0004-2,EU-APP-0004,Zip,Nickel-plated brass,Black,SUP-0007,TRIM-9678,,Yes,No,No,No,No
CMP-0005-1,EU-APP-0005,Shell fabric,Cotton,Blue,SUP-0013,MAT-9101,100,Yes,Yes,No,No,Yes
CMP-0006-1,EU-APP-0006,Shell fabric,Cotton,Black,SUP-0012,MAT-6276,100,Yes,Yes,No,No,Yes
CMP-0007-1,EU-APP-0007,Shell fabric,Cotton/polyester jersey,White,SUP-0003,MAT-6482,60,Yes,Yes,No,No,Yes
CMP-0007-2,EU-APP-0007,Secondary fibre,Polyester,White,SUP-0003,MAT-8344,40,Yes,Yes,No,No,Yes
CMP-0008-1,EU-APP-0008,Shell fabric,Cotton/polyester jersey,Black,SUP-0025,MAT-7933,60,Yes,Yes,No,No,Yes
CMP-0008-2,EU-APP-0008,Secondary fibre,Polyester,Black,SUP-0012,MAT-6486,40,Yes,Yes,No,No,Yes
CMP-0008-3,EU-APP-0008,Zip,Stainless steel,Black,SUP-0008,TRIM-4292,,Yes,No,No,No,No
CMP-0009-1,EU-APP-0009,Shell fabric,Cotton/polyester jersey,Grey,SUP-0022,MAT-6920,60,Yes,Yes,No,No,Yes
CMP-0009-2,EU-APP-0009,Secondary fibre,Polyester,Grey,SUP-0001,MAT-5845,40,Yes,Yes,No,No,Yes
CMP-0009-3,EU-APP-0009,Print/Badge,Soft PVC print,Grey,SUP-0003,PVC-2788,,Yes,Yes,No,Yes,Yes
CMP-0010-1,EU-APP-0010,Shell fabric,Cotton/polyester jersey,Pink,SUP-0013,MAT-3902,60,Yes,Yes,No,No,Yes
CMP-0010-2,EU-APP-0010,Secondary fibre,Polyester,Pink,SUP-0011,MAT-3884,40,Yes,Yes,No,No,Yes
CMP-0011-1,EU-APP-0011,Shell fabric,Cotton,Olive,SUP-0015,MAT-9380,100,Yes,Yes,No,No,Yes
CMP-0011-2,EU-APP-0011,Button,Painted alloy,Olive,SUP-0014,TRIM-9248,,Yes,No,No,No,No
CMP-0012-1,EU-APP-0012,Shell fabric,Cotton/polyester jersey,Black,SUP-0004,MAT-8262,60,Yes,Yes,No,No,Yes
CMP-0012-2,EU-APP-0012,Secondary fibre,Polyester,Black,SUP-0018,MAT-2938,40,Yes,Yes,No,No,Yes
CMP-0012-3,EU-APP-0012,Print/Badge,Soft PVC print,Black,SUP-0002,PVC-5599,,Yes,Yes,No,Yes,Yes
CMP-0013-1,EU-APP-0013,Shell fabric,Polyester,Beige,SUP-0010,MAT-2624,100,Yes,Yes,No,No,Yes
CMP-0014-1,EU-APP-0014,Shell fabric,Viscose/linen blend,Red,SUP-0006,MAT-6578,70,Yes,Yes,No,No,Yes
CMP-0014-2,EU-APP-0014,Secondary fibre,Linen,Red,SUP-0004,MAT-1682,30,Yes,Yes,No,No,Yes
CMP-0014-3,EU-APP-0014,Button,Stainless steel,Red,SUP-0007,TRIM-2602,,Yes,Yes,No,No,No
CMP-0015-1,EU-APP-0015,Shell fabric,Cotton,Beige,SUP-0023,MAT-5904,100,Yes,Yes,No,No,Yes
CMP-0016-1,EU-APP-0016,Shell fabric,Cotton/elastane fleece,Olive,SUP-0020,MAT-9176,95,Yes,Yes,No,No,Yes
CMP-0016-2,EU-APP-0016,Secondary fibre,Elastane,Olive,SUP-0005,MAT-4301,5,Yes,Yes,No,No,Yes
CMP-0017-1,EU-APP-0017,Shell fabric,Cotton,Black,SUP-0002,MAT-5404,100,Yes,Yes,No,No,Yes
CMP-0017-2,EU-APP-0017,Snap,Nickel-plated brass,Black,SUP-0023,TRIM-2370,,No,Yes,No,No,No
CMP-0017-3,EU-APP-0017,Patch,Genuine leather,Brown,SUP-0015,LEA-1956,,Yes,Yes,Yes,No,No
CMP-0018-1,EU-APP-0018,Shell fabric,Cotton/elastane fleece,Pink,SUP-0004,MAT-4705,95,Yes,Yes,No,No,Yes
CMP-0018-2,EU-APP-0018,Secondary fibre,Elastane,Pink,SUP-0002,MAT-8334,5,Yes,Yes,No,No,Yes
CMP-0019-1,EU-APP-0019,Shell fabric,Cotton,Olive,SUP-0007,MAT-6262,100,Yes,Yes,No,No,Yes
CMP-0020-1,EU-APP-0020,Shell fabric,Cotton,Beige,SUP-0015,MAT-7546,100,Yes,Yes,No,No,Yes
CMP-0021-1,EU-APP-0021,Shell fabric,Cotton,Red,SUP-0025,MAT-8808,100,Yes,Yes,No,No,Yes
CMP-0021-2,EU-APP-0021,Snap,Nickel-plated brass,Red,SUP-0012,TRIM-3667,,Yes,No,No,No,No
CMP-0022-1,EU-APP-0022,Shell fabric,Cotton,Blue,SUP-0004,MAT-4651,100,Yes,Yes,No,No,Yes
CMP-0022-2,EU-APP-0022,Button,Nickel-plated brass,Blue,SUP-0012,TRIM-9381,,Yes,No,No,No,No
CMP-0022-3,EU-APP-0022,Print/Badge,Soft PVC print,Blue,SUP-0016,PVC-2095,,Yes,Yes,No,Yes,Yes
CMP-0023-1,EU-APP-0023,Shell fabric,Cotton/elastane fleece,Beige,SUP-0009,MAT-2938,95,Yes,Yes,No,No,Yes
CMP-0023-2,EU-APP-0023,Secondary fibre,Elastane,Beige,SUP-0012,MAT-5129,5,Yes,Yes,No,No,Yes
CMP-0024-1,EU-APP-0024,Shell fabric,Cotton,Navy,SUP-0014,MAT-8125,100,Yes,Yes,No,No,Yes
CMP-0024-2,EU-APP-0024,Patch,Genuine leather,Brown,SUP-0014,LEA-6246,,Yes,Yes,Yes,No,No
CMP-0025-1,EU-APP-0025,Shell fabric,Polyester,White,SUP-0013,MAT-8827,100,Yes,Yes,No,No,Yes
