document_id,field_name,field_value_raw,page_number,extraction_confidence
DOC-0000002,quantity_total,2500,1,0.86
DOC-0000002,package_count,33,3,0.84
DOC-0000002,gross_weight_kg,1197.02,2,0.91
DOC-0000002,volume_cbm,5.544,2,0.95
DOC-0000002,marks_and_numbers,MARK-0001,2,0.9
DOC-0000003,supplier_id,SUP-0006,3,0.85
DOC-0000003,material_code,MAT-2351,1,0.88
DOC-0000003,sku_reference,EU-APP-0001,3,0.85
DOC-0000003,fibre_composition,60% cotton / 40% polyester,1,0.99
DOC-0000003,signature_present,No,2,0.92
DOC-0000003,valid_until,2027-06-06,1,0.87
DOC-0000004,product_description,Kids blue sweatshirt,1,0.82
DOC-0000004,proposed_code,611020,2,0.96
DOC-0000004,basis,"construction, fibre composition and garment type",1,0.89
DOC-0000004,decision_type,Buyer-provided,1,0.94
DOC-0000005,origin,India,2,0.85
DOC-0000005,destination,NL,2,0.94
DOC-0000005,product_code,611020,2,0.96
DOC-0000005,query_date,2026-08-24,2,0.92
DOC-0000005,result_summary,Tariff and measures displayed in attached export,2,0.94
DOC-0000006,invoice_number,INV-000002,1,0.77
DOC-0000006,seller_name,Silverline Garments LLP,1,0.92
DOC-0000006,buyer_name,Euro Fashion BV,3,0.85
DOC-0000006,quantity_total,1966,3,0.95
DOC-0000006,total_value,20348.1,3,0.78
DOC-0000006,currency,USD,1,0.9
DOC-0000006,incoterm,CIP,3,0.76
DOC-0000006,origin_country,India,1,0.78
DOC-0000006,hs_code,610443,1,0.96
DOC-0000007,quantity_total,1966,1,0.9
DOC-0000007,package_count,37,3,0.91
DOC-0000007,gross_weight_kg,1022.22,2,0.87
DOC-0000007,volume_cbm,8.516,3,0.82
DOC-0000007,marks_and_numbers,MARK-0002,1,0.93
DOC-0000008,fibre_text,60% cotton / 40% polyester,3,0.84
DOC-0000008,language_code,de,2,0.79
DOC-0000008,animal_origin_statement,,1,0.92
DOC-0000008,manufacturer_name,BlueRiver Fashions Pvt Ltd,2,0.93
DOC-0000008,product_identifier,EU-APP-0058,1,0.91
DOC-0000008,care_text,Machine wash cold,3,0.77
DOC-0000009,supplier_id,SUP-0022,1,0.98
DOC-0000009,material_code,MAT-5904,3,0.87
DOC-0000009,sku_reference,EU-APP-0058,3,0.91
DOC-0000009,fibre_composition,60% cotton / 40% polyester,1,0.92
DOC-0000009,signature_present,Yes,1,0.99
DOC-0000009,valid_until,2027-07-23,3,0.92
DOC-0000010,product_description,Adult women knitted dress - Grey,3,0.83
DOC-0000010,proposed_code,610443,3,0.83
DOC-0000010,basis,"construction, fibre composition and garment type",1,0.86
DOC-0000010,decision_type,Buyer-provided,2,0.89
DOC-0000011,origin,India,1,0.92
DOC-0000011,destination,Germany,2,0.89
DOC-0000011,product_code,610443,3,0.89
DOC-0000011,query_date,2026-06-16,1,0.85
DOC-0000011,result_summary,Tariff and measures displayed in attached export,3,0.91
DOC-0000012,invoice_number,INV-000003,2,0.86
