shipment_id,shipment_date,exporter_id,buyer_id,origin_city,destination_country_raw,destination_market,destination_port,transport_preference,incoterm,delivery_deadline,current_stage,commercial_currency,declared_total_value,declared_gross_weight_kg,declared_volume_cbm,package_count,special_handling_text
SHP-000001,2026-09-07,EXP-0001,BUY-0002,Delhi,The Netherlands,NL,Rotterdam,Air,CIP,2026-09-23,CUSTOMS_PREPARATION,USD,4755.27,1197.02,5.544,33,Retail launch deadline
SHP-000002,2026-07-23,EXP-0009,BUY-0001,Surat,Germany,DE,Hamburg,Air,CIP,2026-08-06,PRE_PRODUCTION,USD,20348.1,1022.22,8.516,37,Standard
SHP-000003,2026-07-25,EXP-0004,BUY-0012,Kolkata,Netherlands,NL,Rotterdam,Sea LCL,DAP,2026-09-11,BOOKING,USD,164212.59,1800.93,11.283,66,Standard
SHP-000004,2026-09-17,EXP-0002,BUY-0013,Mumbai,FR,FR,Marseille,Sea LCL,CIP,2026-10-28,PRODUCT_APPROVAL,USD,67968.36,2458.89,15.996,89,Retail launch deadline
SHP-000005,2026-09-17,EXP-0012,BUY-0014,Mumbai,IT,IT,Genoa,Air,CIF,2026-09-26,PRODUCT_APPROVAL,USD,40019.57,1283.12,8.231,47,
SHP-000006,2026-07-10,EXP-0004,BUY-0028,Kolkata,French Republic,FR,Le Havre,Sea LCL,CIP,2026-08-12,BOOKING,USD,17244.96,2070.53,9.804,74,Do not stack
SHP-000007,2026-09-11,EXP-0009,BUY-0013,Surat,France,FR,Marseille,Air,CIP,2026-09-21,DISPATCH,USD,21947.84,199.75,0.978,8,Do not stack
SHP-000008,2026-11-03,EXP-0005,BUY-0004,Bengaluru,IT,IT,Genoa,Sea LCL,FOB,2026-12-13,BOOKING,USD,45326.16,2050.91,11.649,74,Do not stack
SHP-000009,2026-08-01,EXP-0010,BUY-0006,Tiruppur,Germany,DE,Bremerhaven,Sea LCL,FOB,2026-09-15,PRE_PRODUCTION,USD,110999.16,2213.08,17.822,80,Standard
SHP-000010,2026-08-15,EXP-0005,BUY-0019,Bengaluru,Italia,IT,Genoa,Air,CIP,2026-08-30,IN_TRANSIT,USD,57698.46,946.58,5.557,34,
SHP-000011,2026-08-29,EXP-0012,BUY-0019,Mumbai,IT,IT,Genoa,Sea LCL,DAP,2026-10-16,CUSTOMS_PREPARATION,USD,11638.9,1187.55,8.187,44,Retail launch deadline
SHP-000012,2026-11-29,EXP-0011,BUY-0030,Delhi,Spain,ES,Valencia,Air,CIF,2026-12-14,PRODUCT_APPROVAL,USD,16159.52,676.48,3.609,25,Standard
SHP-000013,2026-12-01,EXP-0012,BUY-0025,Mumbai,Spain,ES,Valencia,Air,CIP,2026-12-15,BOOKING,USD,52063.41,745.96,3.883,27,Do not stack
SHP-000014,2026-10-04,EXP-0002,BUY-0004,Mumbai,IT,IT,Genoa,Sea LCL,DAP,2026-11-05,CUSTOMS_PREPARATION,USD,151450.28,2839.02,14.992,103,
SHP-000015,2026-09-23,EXP-0006,BUY-0003,Jaipur,France,FR,Marseille,Air,FOB,2026-10-09,CUSTOMS_PREPARATION,USD,46594.8,422.89,1.949,16,Standard
SHP-000016,2026-08-09,EXP-0011,BUY-0018,Delhi,French Republic,FR,Marseille,Air,FOB,2026-08-18,DISPATCH,USD,93270.96,1394.38,9.53,51,
SHP-000017,2026-12-08,EXP-0010,BUY-0013,Tiruppur,France,FR,Le Havre,Sea LCL,FOB,2027-01-27,PRE_PRODUCTION,USD,62257.91,4029.65,23.321,144,
SHP-000018,2026-09-09,EXP-0008,BUY-0008,Ludhiana,French Republic,FR,Marseille,Air,CIF,2026-09-24,DISPATCH,USD,38295.26,1469.45,8.017,53,
SHP-000019,2026-10-17,EXP-0002,BUY-0030,Mumbai,ES,ES,Valencia,Sea LCL,FOB,2026-11-19,IN_TRANSIT,USD,102899.76,2287.56,13.456,82,Retail launch deadline
SHP-000020,2026-09-06,EXP-0012,BUY-0028,Mumbai,FR,FR,Marseille,Sea LCL,FOB,2026-10-08,PACKING,USD,25841.13,1728.42,10.104,63,
SHP-000021,2026-08-30,EXP-0012,BUY-0011,Mumbai,Federal Republic of Germany,DE,Hamburg,Air,DAP,2026-09-14,DISPATCH,USD,10168.25,1441.29,11.895,52,Retail launch deadline
SHP-000022,2026-08-09,EXP-0004,BUY-0022,Kolkata,Netherlands,NL,Rotterdam,Air,FOB,2026-08-26,DISPATCH,USD,19812.0,1379.68,6.484,50,
SHP-000023,2026-11-18,EXP-0009,BUY-0008,Surat,France,FR,Le Havre,Sea LCL,FOB,2027-01-01,IN_TRANSIT,USD,17391.36,803.9,4.193,29,
SHP-000024,2026-09-24,EXP-0001,BUY-0011,Delhi,Federal Republic of Germany,DE,Bremerhaven,Air,CIF,2026-10-10,DISPATCH,USD,12484.78,524.22,4.23,19,Retail launch deadline
SHP-000025,2026-07-26,EXP-0010,BUY-0006,Tiruppur,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,CIP,2026-09-11,DISPATCH,USD,71413.11,2170.99,15.919,78,Standard
SHP-000026,2026-10-24,EXP-0004,BUY-0016,Kolkata,Federal Republic of Germany,DE,Bremerhaven,Sea LCL,CIP,2026-12-02,PRE_PRODUCTION,USD,6117.12,397.74,2.796,15,Do not stack
SHP-000027,2026-11-07,EXP-0007,BUY-0019,Ahmedabad,IT,IT,Genoa,Sea LCL,CIF,2026-12-22,DISPATCH,USD,57106.8,1555.23,12.216,56,
