document_id,shipment_id,sku,document_family,file_name,version,uploaded_at,issued_at,issuer_name,supersedes_document_id,extraction_status,file_present
DOC-0000002,SHP-000001,,Packing List,SHP-000001_packing_list.pdf,1,2026-09-07,2026-09-07,Everest Apparel Exports Pvt Ltd,,COMPLETE,Yes
DOC-0000003,SHP-000001,EU-APP-0001,Fibre Declaration,MAT-2351_declaration.pdf,1,2026-09-07,2025-10-08,Quality Manager,,COMPLETE,Yes
DOC-0000004,SHP-000001,EU-APP-0001,Classification Memo,SHP-000001_EU-APP-0001_classification.pdf,1,2026-09-07,2026-09-07,Exporter classification team,,COMPLETE,Yes
DOC-0000005,SHP-000001,EU-APP-0001,Tariff Query Snapshot,SHP-000001_EU-APP-0001_tariff_query.pdf,1,2026-09-07,2026-08-24,Access2Markets export,,COMPLETE,Yes
DOC-0000006,SHP-000002,,Commercial Invoice,SHP-000002_invoice_v1.pdf,1,2026-07-23,2026-07-23,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000007,SHP-000002,,Packing List,SHP-000002_packing_list.pdf,1,2026-07-23,2026-07-23,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000008,SHP-000002,EU-APP-0058,Label Artwork,EU-APP-0058_DE_label_v1.pdf,1,2025-10-12,2025-10-12,Silverline Garments LLP,,COMPLETE,Yes
DOC-0000009,SHP-000002,EU-APP-0058,Fibre Declaration,MAT-5904_declaration.pdf,1,2026-07-23,2025-12-20,,,COMPLETE,Yes
DOC-0000010,SHP-000002,EU-APP-0058,Classification Memo,SHP-000002_EU-APP-0058_classification.pdf,1,2026-07-23,2026-07-23,Exporter classification team,,COMPLETE,Yes
DOC-0000011,SHP-000002,EU-APP-0058,Tariff Query Snapshot,SHP-000002_EU-APP-0058_tariff_query.pdf,1,2026-07-23,2026-06-16,Access2Markets export,,COMPLETE,Yes
DOC-0000012,SHP-000003,,Commercial Invoice,SHP-000003_invoice_v1.pdf,1,2026-07-25,2026-07-25,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000013,SHP-000003,,Packing List,SHP-000003_packing_list.pdf,1,2026-07-25,2026-07-25,BlueRiver Fashions Pvt Ltd,,COMPLETE,Yes
DOC-0000014,SHP-000003,EU-APP-0016,Fibre Declaration,MAT-9176_declaration.pdf,1,2026-07-25,2026-01-30,,,COMPLETE,Yes
